PIGs
Apoe
Arpc1b
Axl
B2m
C1qa
C1qb
C1qc
C4a
C4b
Cd63
Cd63-ps
Cd9
Clu
Csf1r
Cst3
Ctsa
Ctsb
Ctsd
Ctsh
Ctsl
Ctss
Ctsz
Cx3cr1
Cyba
Fcer1g
Fcgr3
Fcrls
Gfap
Gns
Gpx4
Grn
Gusb
H2-D1
H2-K1
Hexa
Hexb
Igfbp5
Itgb5
Itm2b
Laptm5
Lgals3bp
Lgmn
Ly86
Lyz2
Man2b1
Mpeg1
Npc2
Olfml3
Plek
Prdx6
RP23-269H21.1
Rpl18a
S100a6
Serpina3n
Trem2
Tyrobp
Vsir












































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































